"c1","c2","c3"
30.6031746031746,"Phase 1","July 9 - July 14, 2020"
30.7166666666667,"Phase 2","Sep 30 - Oct 12, 2020"
32.5207936507936,"Phase 3","Mar 3 - Mar 15, 2021"
25.8469135802469,"Phase 4","Apr 28 - May 10, 2021"
28.0334757834758,"Phase 5","Aug 4 - Aug 16, 2021"
28.125641025641,"Phase 6","Dec 1 - Dec 13, 2021"
